count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
24356,12,2013-11-27,1.6834866152077517,2.4729356216127463,855.0223764164888
30700,19,2013-11-25,1.6890228013029316,2.4576289902280144,696.7789902280131
25972,19,2013-11-29,1.8573848760203295,2.360250654551055,674.9999614969968
8780,3,2013-11-28,1.719362186788155,3.6871719817767663,663.5530751708428
4107,2,2013-11-26,1.6700754808862917,3.3993498904309716,602.418066715364
5246,7,2013-11-30,1.6309569195577582,4.029820815859701,593.2438048036599
24987,14,2013-04-27,1.7828470804818506,2.7329659422899923,826.3588265898267
9584,8,2013-04-28,1.673101001669449,3.386108096828047,569.8912771285476
23385,15,2013-04-28,1.758007269617276,3.36857558263845,810.7979901646354
24830,14,2013-04-28,1.758477648006444,3.197114780507447,793.0256544502618
4597,5,2013-04-08,1.5816837067652818,5.202514683489233,686.8531651076789
25177,14,2013-04-26,1.6930929022520556,2.933432100726857,918.8588394169282
24446,23,2013-04-03,1.7224903869753743,3.2092276855109203,660.5529739016608
19122,3,2013-04-28,1.7979813827005544,3.329005334170065,674.8617822403514
25114,15,2013-03-14,1.700804332244963,2.98101497172892,969.7061001831647
35203,21,2013-03-14,1.712638127432321,3.011895008948102,695.5599806834645
26309,10,2013-03-12,1.6422136911323122,2.302653084495803,871.6195598464404
24566,11,2013-03-13,1.6521615240576406,2.4659293332247847,836.3360335422942
25312,15,2013-03-17,1.7368046776232617,3.180338574589127,746.9175094816687
13404,0,2013-03-13,1.6858400477469413,3.773299761265296,659.7821545807221
5768,6,2013-03-16,1.6154646324549238,4.532404646324548,660.0587725381415
24773,10,2013-12-12,1.6608404311145197,2.5070815000201825,968.6458644491987
11517,1,2013-12-12,1.6567682556221237,3.2422323521750473,635.0307371711383
26572,9,2013-12-12,1.6482763811530934,2.4500308595514086,968.2436399217221
19038,23,2013-12-09,1.6823720979094443,3.48855552053787,670.7719298245614
4897,5,2013-12-12,1.569123953440882,4.662860935266493,645.1731672452522
24426,12,2013-12-13,1.6657250470809792,2.6236809137804022,960.6515598133137
17731,1,2013-12-13,1.711127403981727,3.288387569793017,675.9516665726693
3798,4,2013-12-12,1.679304897314376,4.305036861506057,658.8996840442338
16751,16,2013-12-13,1.699301534236762,3.0820058503969894,1051.2378962450002
6085,7,2013-12-15,1.6172555464256368,4.435293344289238,645.2813475760066
24263,10,2013-12-11,1.640522606437786,2.5410406792235114,959.8026624902114
5731,2,2013-12-11,1.6314779270633397,3.286431687314605,607.2603385098587
22894,12,2013-12-20,1.6872106228706212,2.6715335895867858,954.6646719664541
22208,23,2013-02-27,1.6998378962536023,3.3469632564841514,671.8111491354467
30786,21,2013-02-27,1.6776456831027091,3.026783278113433,650.3251153121548
25474,10,2013-02-22,1.6366098767370652,2.4655099316950637,758.7020884038627
24584,17,2013-02-14,1.6849576960624797,2.703892775789132,854.3306622193296
34581,20,2013-02-14,1.7435586015442006,2.693317428645795,736.7882941499668
29243,8,2013-02-14,1.621105905686831,2.3999504154840454,778.5787367917109
29649,8,2013-02-21,1.6105433572801782,2.292696549630683,744.648419845526
25854,15,2013-02-21,1.7070085866790439,2.779176142956606,797.2800340372863
